Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2014-10-08 21:55:37;2014-10-09 05:13:04;72%;7:17;;;0;10004
2014-10-09 21:34:11;2014-10-10 05:11:35;83%;7:37;;;0;16245
2014-10-11 22:18:24;2014-10-12 07:05:50;95%;8:47;;;0;4589
2014-10-12 21:50:05;2014-10-13 07:59:45;94%;10:09;;;0;7059
2014-10-13 21:44:08;2014-10-14 05:06:37;74%;7:22;;;0;10472
2014-10-14 21:20:08;2014-10-15 05:09:20;86%;7:49;;;0;11019
2014-10-15 21:41:41;2014-10-16 05:12:55;87%;7:31;;;0;8513
2014-10-16 21:23:29;2014-10-17 05:46:29;85%;8:23;;;0;13155
2014-10-17 22:18:29;2014-10-18 07:01:09;81%;8:42;;;0;9181
2014-10-20 01:17:28;2014-10-20 08:10:17;82%;6:52;;;0;3098
2014-10-20 21:42:34;2014-10-21 06:03:29;84%;8:20;;;0;7557
2014-10-21 21:45:17;2014-10-22 05:05:43;70%;7:20;;;0;12451
2014-10-22 21:38:37;2014-10-23 05:08:46;88%;7:30;;;0;10755
2014-10-23 21:40:20;2014-10-24 05:10:30;32%;7:30;;;0;15159
2014-10-26 22:10:54;2014-10-27 07:36:33;82%;9:25;;;0;2579
2014-10-27 21:38:12;2014-10-28 06:04:04;84%;8:25;;;0;13790
2014-10-28 22:09:44;2014-10-29 05:08:42;75%;6:58;;;0;16730
2014-10-29 21:31:22;2014-10-30 05:10:45;85%;7:39;;;0;10753
2014-10-30 21:26:09;2014-10-31 05:05:24;89%;7:39;;;0;13456
2014-10-31 22:26:37;2014-11-01 06:13:12;82%;7:46;;;0;11395
2014-11-02 21:40:57;2014-11-03 07:39:56;100%;9:58;;;0;12594
2014-11-03 21:55:05;2014-11-04 06:05:15;92%;8:10;;;0;10243
2014-11-04 21:25:40;2014-11-05 05:08:57;86%;7:43;;;0;8634
2014-11-05 21:34:25;2014-11-06 05:10:30;82%;7:36;;;0;10699
2014-11-06 21:46:17;2014-11-07 05:09:24;83%;7:23;;;0;13293
2014-11-07 23:38:47;2014-11-08 08:05:28;94%;8:26;;;0;15414
2014-11-08 22:50:05;2014-11-09 07:15:15;94%;8:25;;;0;5343
2014-11-09 23:16:31;2014-11-10 08:04:27;80%;8:47;;;0;6138
2014-11-10 21:38:33;2014-11-11 05:09:12;79%;7:30;;;0;10534
2014-11-11 21:21:10;2014-11-12 05:11:50;87%;7:50;;;0;10658
2014-11-12 21:53:48;2014-11-13 06:09:56;92%;8:16;;;0;13133
2014-11-13 22:04:12;2014-11-14 05:13:11;79%;7:08;;;0;9826
2014-11-14 23:16:18;2014-11-15 07:09:40;86%;7:53;;;0;9786
2014-11-16 22:27:39;2014-11-17 07:01:11;91%;8:33;;;0;2641
2014-11-17 21:30:42;2014-11-18 05:08:32;83%;7:37;;;0;11724
2014-11-18 21:23:22;2014-11-19 05:13:06;86%;7:49;;;0;13738
2014-11-19 21:46:10;2014-11-20 05:13:02;90%;7:26;;;0;11451
2014-11-20 21:50:47;2014-11-21 06:37:09;93%;8:46;;;0;10861
2014-11-23 00:46:44;2014-11-23 09:19:46;86%;8:33;;;0;8607
2014-11-23 22:24:24;2014-11-24 07:31:55;87%;9:07;;;0;2610
2014-11-24 21:45:53;2014-11-25 05:09:03;80%;7:23;;;0;8259
2014-11-25 21:13:12;2014-11-26 05:03:46;87%;7:50;;;0;7878
2014-11-27 22:39:58;2014-11-28 07:11:39;91%;8:31;;;0;1837
2014-11-29 00:05:26;2014-11-29 08:09:45;88%;8:04;;;0;12092
2014-11-30 22:19:08;2014-12-01 08:13:10;99%;9:54;;;0;10703
2014-12-01 21:40:59;2014-12-02 05:10:33;81%;7:29;;;0;6873
2014-12-02 21:35:27;2014-12-03 05:10:09;90%;7:34;;;0;9355
2014-12-03 21:43:44;2014-12-04 05:11:57;79%;7:28;;;0;9709
2014-12-04 21:55:31;2014-12-05 06:01:52;81%;8:06;;;0;16330
2014-12-05 22:50:05;2014-12-06 07:07:31;88%;8:17;;;0;14151
2014-12-07 21:09:21;2014-12-08 07:37:14;100%;10:27;;;0;6698
2014-12-08 21:46:36;2014-12-09 06:08:20;90%;8:21;;;0;7180
2014-12-09 21:38:12;2014-12-10 05:09:19;32%;7:31;;;0;11374
2014-12-10 21:43:51;2014-12-11 04:45:08;74%;7:01;;;0;12013
2014-12-11 22:11:51;2014-12-12 06:26:44;81%;8:14;;;0;10805
2014-12-12 21:54:03;2014-12-13 07:06:37;88%;9:12;;;0;8878
2014-12-13 22:10:59;2014-12-14 06:58:57;93%;8:47;;;0;7102
2014-12-14 22:31:59;2014-12-15 07:14:51;88%;8:42;;;0;4855
2014-12-15 21:54:59;2014-12-16 06:02:27;84%;8:07;;;0;8843
2014-12-16 21:34:20;2014-12-17 06:06:37;83%;8:32;;;0;13064
2014-12-17 21:58:11;2014-12-18 05:13:21;77%;7:15;;;0;8314
2014-12-18 21:39:47;2014-12-19 04:58:23;71%;7:18;;;0;10799
2014-12-20 00:04:40;2014-12-20 08:12:42;65%;8:08;;;0;15917
2014-12-21 22:01:39;2014-12-22 07:55:28;79%;9:53;;;0;6024
2014-12-22 22:18:15;2014-12-23 06:12:25;52%;7:54;;;0;11675
2014-12-23 22:09:32;2014-12-24 06:14:06;73%;8:04;;;0;10288
2014-12-25 21:47:11;2014-12-26 07:12:34;78%;9:25;;;0;2295
2014-12-28 22:08:08;2014-12-29 07:08:33;74%;9:00;;;0;3641
2014-12-29 21:55:35;2014-12-30 06:04:36;35%;8:09;;;0;8530
2014-12-30 22:17:31;2014-12-31 05:17:59;70%;7:00;;;0;14352
2015-01-01 21:22:28;2015-01-02 05:12:41;72%;7:50;;;0;3723
2015-01-02 21:47:00;2015-01-03 06:57:38;81%;9:10;;;0;7339
2015-01-04 23:00:13;2015-01-05 07:27:13;79%;8:27;;;0;4040
2015-01-05 21:42:26;2015-01-06 05:11:58;71%;7:29;;;0;8698
2015-01-06 20:54:52;2015-01-07 05:06:38;75%;8:11;;;0;8450
2015-01-07 21:41:34;2015-01-08 05:10:18;75%;7:28;;;0;9133
2015-01-08 21:47:40;2015-01-09 05:09:36;76%;7:21;;;0;12118
2015-01-09 22:03:12;2015-01-10 07:39:12;84%;9:36;;;0;9980
2015-01-10 23:53:36;2015-01-11 07:27:21;73%;7:33;;;0;4639
2015-01-11 23:05:40;2015-01-12 07:26:58;79%;8:21;;;0;4190
2015-01-12 21:43:19;2015-01-13 05:14:23;77%;7:31;;;0;9285
2015-01-13 21:35:16;2015-01-14 05:17:34;73%;7:42;;;0;9203
2015-01-14 21:38:07;2015-01-15 05:12:41;65%;7:34;;;0;9627
2015-01-15 21:09:20;2015-01-16 05:12:36;81%;8:03;;;0;10561
2015-01-16 21:27:51;2015-01-17 05:53:37;83%;8:25;;;0;9265
2015-01-18 21:55:06;2015-01-19 07:07:08;71%;9:12;;;0;6296
2015-01-19 21:05:40;2015-01-20 05:10:57;74%;8:05;;;0;11639
2015-01-20 21:26:31;2015-01-21 05:10:09;80%;7:43;;;0;10960
2015-01-21 21:24:02;2015-01-22 05:06:18;74%;7:42;;;0;11837
2015-01-22 21:16:13;2015-01-23 05:13:07;68%;7:56;;;0;17277
2015-01-23 21:30:03;2015-01-24 06:22:57;81%;8:52;;;0;9267
2015-01-25 22:29:37;2015-01-26 07:55:19;86%;9:25;;;0;5802
2015-01-26 21:26:01;2015-01-27 05:07:13;78%;7:41;;;0;10581
2015-01-27 21:40:48;2015-01-28 05:09:36;72%;7:28;;;0;8859
2015-01-28 21:19:23;2015-01-29 05:09:46;78%;7:50;;;0;9819
2015-01-29 21:38:25;2015-01-30 05:13:06;75%;7:34;;;0;13405
2015-01-30 23:18:19;2015-01-31 06:48:42;68%;7:30;;;0;12517
2015-01-31 22:24:21;2015-02-01 06:29:54;62%;8:05;;;0;18165
2015-02-01 22:47:54;2015-02-02 06:56:04;78%;8:08;;;0;14568
2015-02-02 21:11:32;2015-02-03 05:02:39;66%;7:51;;;0;12608
2015-02-03 21:43:45;2015-02-04 05:01:49;69%;7:18;;;0;12068
2015-02-04 21:39:57;2015-02-05 05:02:35;67%;7:22;;;0;11959
2015-02-05 20:54:23;2015-02-06 05:27:42;83%;8:33;;;0;16600
2015-02-06 22:29:46;2015-02-07 06:42:32;84%;8:12;;;0;13499
2015-02-07 23:23:59;2015-02-08 07:51:51;77%;8:27;;;0;15080
2015-02-08 21:48:34;2015-02-09 07:25:11;84%;9:36;;;0;11218
2015-02-09 21:24:32;2015-02-10 05:12:54;83%;7:48;;;0;12383
2015-02-10 21:15:03;2015-02-11 05:08:00;79%;7:52;;;0;12106
2015-02-11 21:38:16;2015-02-12 05:08:52;56%;7:30;;;0;17808
2015-02-12 21:33:08;2015-02-13 05:10:22;74%;7:37;;;0;13546
